Model,accuracy,precision,recall,f1,roc_auc
QTL (Proposed),0.8963922294172063,0.8976131780053723,0.8963372211990995,0.8954172887715538,0.9879260794510886
QAH (Proposed),0.996299722479186,0.9963268775423472,0.9963014119091468,0.9962935879115884,0.9999835573642454
QSVM,0.4083333333333333,0.2,0.08166666666666667,0.11597633136094673,
